,Zip,City,County,Type,Area,Value,Year,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index
0,76574,Taylor,Williamson County,Rural,North,106847.78,2011,17213,35.3,54.0,8.6,0.0,1.8,0.3,100.0,0.576062
1,76574,Taylor,Williamson County,Rural,North,106776.56,2012,17775,34.5,53.6,8.9,0.0,2.0,1.0,100.0,0.585258
2,76574,Taylor,Williamson County,Rural,North,107119.61,2013,18037,36.8,51.1,9.8,0.0,0.2,2.2,100.1,0.593363
3,76574,Taylor,Williamson County,Rural,North,107849.07,2014,18135,35.3,51.9,9.9,0.0,0.4,2.5,100.0,0.595588
4,76574,Taylor,Williamson County,Rural,North,109096.49,2015,18281,41.4,46.0,9.6,0.1,0.7,2.1,99.9,0.607297
5,76574,Taylor,Williamson County,Rural,North,111104.17,2016,18502,35.4,49.3,11.2,0.1,0.8,3.2,100.0,0.618002
6,76574,Taylor,Williamson County,Rural,North,113822.62,2017,18939,40.3,47.2,9.3,0.1,0.6,2.6,100.1,0.605445
7,78602,Bastrop,Bastrop County,Rural,East,115163.33,2011,24532,21.8,65.8,9.7,0.2,0.8,1.6,99.9,0.509779
8,78602,Bastrop,Bastrop County,Rural,East,115852.6,2012,25594,23.3,64.5,9.2,0.4,0.8,1.8,100.0,0.520818
9,78602,Bastrop,Bastrop County,Rural,East,116555.39,2013,26278,26.0,61.8,8.9,0.4,0.9,1.9,99.9,0.542097
10,78602,Bastrop,Bastrop County,Rural,East,117725.46,2014,25444,26.5,61.8,8.4,0.9,1.1,1.4,100.1,0.540397
11,78602,Bastrop,Bastrop County,Rural,East,119269.74,2015,25855,27.8,62.1,6.7,0.8,1.0,1.6,100.0,0.532166
12,78602,Bastrop,Bastrop County,Rural,East,121642.5,2016,27043,27.5,62.1,6.9,0.7,1.4,1.4,100.0,0.533532
13,78602,Bastrop,Bastrop County,Rural,East,124553.57,2017,28027,30.5,59.3,7.0,0.7,1.4,1.1,100.0,0.55006
14,78610,Buda,Hays County,Suburban,South,169191.11,2011,22052,34.7,61.6,1.3,0.3,0.8,1.3,100.0,0.499724
15,78610,Buda,Hays County,Suburban,South,170217.19,2012,24313,36.6,59.1,2.0,0.2,0.8,1.4,100.1,0.516099
16,78610,Buda,Hays County,Suburban,South,171498.53,2013,25580,39.6,55.7,2.1,0.2,1.1,1.3,100.0,0.5322
17,78610,Buda,Hays County,Suburban,South,173437.04,2014,26991,41.7,53.2,2.7,0.2,0.8,1.3,99.9,0.542121
18,78610,Buda,Hays County,Suburban,South,176327.63,2015,29200,43.1,50.9,3.4,0.2,1.2,1.2,100.0,0.55371
19,78610,Buda,Hays County,Suburban,South,179742.08,2016,30452,41.9,50.8,3.9,0.0,1.7,1.7,100.0,0.564276
20,78610,Buda,Hays County,Suburban,South,183435.71,2017,32692,39.5,52.4,3.9,0.0,1.8,2.3,99.9,0.567025
21,78612,Cedar Creek,Bastrop County,Rural,East,114037.22,2011,11373,40.0,50.8,7.3,0.0,1.2,0.7,100.0,0.576414
22,78612,Cedar Creek,Bastrop County,Rural,East,115214.58,2012,11564,39.7,50.3,7.8,0.0,1.2,1.0,100.0,0.583054
23,78612,Cedar Creek,Bastrop County,Rural,East,116302.45,2013,10807,39.0,50.2,8.8,0.0,1.4,0.7,100.1,0.587907
24,78612,Cedar Creek,Bastrop County,Rural,East,117620.83,2014,12032,40.2,44.8,13.1,0.4,1.1,0.4,100.0,0.620378
25,78612,Cedar Creek,Bastrop County,Rural,East,119150.88,2015,11622,39.7,42.2,15.9,0.3,1.6,0.3,100.0,0.6387520000000001
26,78612,Cedar Creek,Bastrop County,Rural,East,121744.58,2016,12369,46.0,41.8,10.5,0.3,1.0,0.4,100.0,0.602526
27,78612,Cedar Creek,Bastrop County,Rural,East,125026.59,2017,12484,44.1,46.0,8.3,0.3,0.6,0.8,100.1,0.586921
28,78613,Cedar Park,Williamson County,Suburban,North,192908.33,2011,63901,16.0,70.3,5.3,0.3,5.9,2.1,99.9,0.473451
29,78613,Cedar Park,Williamson County,Suburban,North,193429.69,2012,65178,15.7,70.3,4.9,0.2,6.6,2.2,99.9,0.473897
30,78613,Cedar Park,Williamson County,Suburban,North,194310.78,2013,68426,15.6,70.6,4.1,0.2,7.0,2.5,100.0,0.47001800000000005
31,78613,Cedar Park,Williamson County,Suburban,North,196270.37,2014,70764,14.4,70.3,4.7,0.2,7.5,3.0,100.1,0.476317
32,78613,Cedar Park,Williamson County,Suburban,North,199062.28,2015,73448,16.4,69.0,4.0,0.3,7.7,2.5,99.9,0.48884099999999997
33,78613,Cedar Park,Williamson County,Suburban,North,202527.5,2016,75279,17.8,67.0,3.5,0.2,8.3,3.2,100.0,0.510274
34,78613,Cedar Park,Williamson County,Suburban,North,206590.08,2017,77779,18.6,66.3,3.1,0.2,8.3,3.5,100.0,0.516756
35,78617,Austin,Travis County,Suburban,East,120441.11,2011,18572,67.5,19.2,9.3,0.3,1.4,2.3,100.0,0.49812799999999996
36,78617,Austin,Travis County,Suburban,East,120333.33,2012,19553,66.8,20.8,8.8,0.3,1.1,2.1,99.9,0.502197
37,78617,Austin,Travis County,Suburban,East,120444.61,2013,21096,65.2,19.8,10.5,0.3,2.1,2.1,100.0,0.523776
38,78617,Austin,Travis County,Suburban,East,121178.24,2014,23025,66.1,19.2,11.0,0.3,1.5,1.9,100.0,0.51352
39,78617,Austin,Travis County,Suburban,East,122473.25,2015,25473,66.4,17.8,10.8,0.1,2.1,2.9,100.1,0.514473
40,78617,Austin,Travis County,Suburban,East,124471.67,2016,26126,72.2,14.9,9.9,0.1,1.3,1.7,100.1,0.446255
41,78617,Austin,Travis County,Suburban,East,127058.73,2017,27900,72.8,14.4,9.4,0.1,1.6,1.8,100.1,0.439863
42,78619,Driftwood,Hays County,Rural,South,336850.0,2011,3532,4.0,92.8,0.0,2.3,0.3,0.5,99.9,0.136653
43,78619,Driftwood,Hays County,Rural,South,337624.48,2012,3504,5.1,94.3,0.0,0.0,0.3,0.4,100.1,0.108125
44,78619,Driftwood,Hays County,Rural,South,340019.12,2013,3446,3.4,95.8,0.1,0.0,0.3,0.3,99.9,0.08106100000000001
45,78619,Driftwood,Hays County,Rural,South,343506.48,2014,3805,5.2,94.4,0.2,0.0,0.3,0.0,100.1,0.106147
46,78619,Driftwood,Hays County,Rural,South,348226.32,2015,3824,11.4,88.0,0.2,0.0,0.4,0.0,100.0,0.21258400000000002
47,78619,Driftwood,Hays County,Rural,South,354105.0,2016,3585,11.0,87.1,0.3,0.0,0.9,0.6,99.9,0.229133
48,78619,Driftwood,Hays County,Rural,South,359766.27,2017,4124,12.6,81.5,0.3,4.2,0.8,0.6,100.0,0.31802600000000003
49,78620,Dripping Springs,Hays County,Rural,South,254146.67,2011,14578,13.8,82.3,1.3,0.6,1.0,1.0,100.0,0.303222
50,78620,Dripping Springs,Hays County,Rural,South,255690.62,2012,14483,12.0,85.4,0.7,0.4,0.7,0.8,100.0,0.256106
51,78620,Dripping Springs,Hays County,Rural,South,257525.0,2013,14660,12.0,84.9,0.5,0.5,0.5,1.6,100.0,0.264468
52,78620,Dripping Springs,Hays County,Rural,South,260495.83,2014,14104,12.1,84.4,0.3,0.4,0.5,2.3,100.0,0.272444
53,78620,Dripping Springs,Hays County,Rural,South,264591.67,2015,14614,12.4,85.0,0.3,0.1,0.7,1.5,100.0,0.26184
54,78620,Dripping Springs,Hays County,Rural,South,270367.92,2016,15140,13.0,84.7,0.2,0.1,0.5,1.5,100.0,0.265436
55,78620,Dripping Springs,Hays County,Rural,South,276838.1,2017,15452,16.8,79.9,0.5,0.2,0.7,2.0,100.1,0.332897
56,78621,Elgin,Bastrop County,Rural,East,111208.33,2011,22273,37.8,46.5,11.5,0.2,0.5,3.4,99.9,0.6264810000000001
57,78621,Elgin,Bastrop County,Rural,East,111364.58,2012,21352,37.5,48.8,10.4,0.2,0.5,2.7,100.1,0.609657
58,78621,Elgin,Bastrop County,Rural,East,111510.29,2013,21863,38.1,50.0,9.0,0.1,0.5,2.2,99.9,0.596229
59,78621,Elgin,Bastrop County,Rural,East,112120.37,2014,22289,37.7,50.1,8.3,0.1,0.5,3.2,99.9,0.598931
60,78621,Elgin,Bastrop County,Rural,East,113278.07,2015,21735,38.9,50.0,8.5,0.0,0.7,1.9,100.0,0.591044
61,78621,Elgin,Bastrop County,Rural,East,115032.08,2016,22185,38.4,48.6,11.0,0.0,0.5,1.5,100.0,0.6039979999999999
62,78621,Elgin,Bastrop County,Rural,East,117398.81,2017,22261,39.2,46.2,12.5,0.0,0.4,1.7,100.0,0.616962
63,78626,Georgetown,Williamson County,Suburban,North,146210.56,2011,27211,40.4,52.6,4.6,0.1,1.0,1.3,100.0,0.557722
64,78626,Georgetown,Williamson County,Suburban,North,146435.42,2012,27412,39.4,53.2,5.3,0.1,0.7,1.4,100.1,0.558685
65,78626,Georgetown,Williamson County,Suburban,North,146811.27,2013,27346,38.4,55.0,4.3,0.0,0.9,1.4,100.0,0.547918
66,78626,Georgetown,Williamson County,Suburban,North,148042.59,2014,28092,39.5,54.2,3.8,0.1,0.9,1.5,100.0,0.5484600000000001
67,78626,Georgetown,Williamson County,Suburban,North,149907.89,2015,28876,34.4,58.5,4.1,0.0,1.1,1.8,99.9,0.537313
68,78626,Georgetown,Williamson County,Suburban,North,152535.83,2016,30163,35.3,58.5,3.8,0.0,1.1,1.4,100.1,0.531405
69,78626,Georgetown,Williamson County,Suburban,North,155823.02,2017,32529,33.0,58.9,5.6,0.0,1.1,1.4,100.0,0.540726
70,78628,Georgetown,Williamson County,Suburban,North,205372.78,2011,23269,16.8,77.6,2.3,0.0,1.4,1.9,100.0,0.368514
71,78628,Georgetown,Williamson County,Suburban,North,206577.08,2012,23288,17.7,77.5,2.4,0.0,1.2,1.3,100.1,0.367157
72,78628,Georgetown,Williamson County,Suburban,North,208377.45,2013,24603,17.1,78.2,2.3,0.0,1.1,1.3,100.0,0.358416
73,78628,Georgetown,Williamson County,Suburban,North,210742.13,2014,24856,15.4,79.4,3.4,0.0,0.6,1.2,100.0,0.344512
74,78628,Georgetown,Williamson County,Suburban,North,213759.65,2015,26544,13.5,79.8,4.0,0.0,0.9,1.8,100.0,0.342966
75,78628,Georgetown,Williamson County,Suburban,North,217742.92,2016,27637,15.1,80.1,2.7,0.0,0.9,1.2,100.0,0.334644
76,78628,Georgetown,Williamson County,Suburban,North,221893.25,2017,30322,15.1,78.9,2.4,0.2,0.8,2.6,100.0,0.353358
77,78633,Georgetown,Williamson County,Suburban,North,209279.44,2011,17181,5.3,93.2,0.3,0.3,0.6,0.3,100.0,0.128504
78,78633,Georgetown,Williamson County,Suburban,North,209988.54,2012,17556,4.7,93.2,0.6,0.4,0.6,0.4,99.9,0.129063
79,78633,Georgetown,Williamson County,Suburban,North,211386.76,2013,18462,4.8,92.4,0.7,0.4,1.3,0.3,99.9,0.143677
80,78633,Georgetown,Williamson County,Suburban,North,214051.39,2014,19593,5.0,92.0,0.8,0.5,1.2,0.3,99.8,0.150858
81,78633,Georgetown,Williamson County,Suburban,North,217566.67,2015,21980,4.5,92.4,1.0,0.3,1.4,0.4,100.0,0.143878
82,78633,Georgetown,Williamson County,Suburban,North,221635.0,2016,23369,5.4,91.3,1.1,0.5,1.1,0.6,100.0,0.163212
83,78633,Georgetown,Williamson County,Suburban,North,225686.11,2017,24727,6.0,90.2,0.9,0.5,1.4,1.1,100.1,0.182373
84,78634,Hutto,Williamson County,Suburban,North,144710.0,2011,21778,31.9,54.7,11.2,0.1,0.3,1.8,100.0,0.586152
85,78634,Hutto,Williamson County,Suburban,North,144751.56,2012,22731,31.8,55.9,10.7,0.1,0.3,1.2,100.0,0.574792
86,78634,Hutto,Williamson County,Suburban,North,145346.08,2013,24306,29.5,54.2,14.3,0.0,0.4,1.6,100.0,0.59849
87,78634,Hutto,Williamson County,Suburban,North,146727.31,2014,25421,32.7,53.1,11.7,0.0,0.4,2.1,100.0,0.596964
88,78634,Hutto,Williamson County,Suburban,North,148539.04,2015,26701,30.4,55.3,11.6,0.0,0.7,2.0,100.0,0.58787
89,78634,Hutto,Williamson County,Suburban,North,150869.58,2016,28479,30.7,53.4,11.9,0.2,2.1,1.7,100.0,0.6057
90,78634,Hutto,Williamson County,Suburban,North,153701.98,2017,29770,32.2,50.8,12.9,0.1,1.7,2.3,100.0,0.620792
91,78640,Kyle,Hays County,Suburban,South,139470.0,2011,40699,56.4,36.9,4.3,0.2,1.2,1.2,100.2,0.543602
92,78640,Kyle,Hays County,Suburban,South,139663.54,2012,42080,55.8,37.5,4.5,0.2,1.0,1.0,100.0,0.545782
93,78640,Kyle,Hays County,Suburban,South,140169.61,2013,43427,53.0,39.2,5.7,0.2,0.8,1.0,99.9,0.5620189999999999
94,78640,Kyle,Hays County,Suburban,South,141281.02,2014,45136,52.8,39.6,5.6,0.2,0.6,1.2,100.0,0.56108
95,78640,Kyle,Hays County,Suburban,South,143004.39,2015,45772,51.2,41.8,4.8,0.1,0.6,1.4,99.9,0.560595
96,78640,Kyle,Hays County,Suburban,South,145240.42,2016,48804,50.7,41.9,5.0,0.2,0.5,1.7,100.0,0.5645720000000001
97,78640,Kyle,Hays County,Suburban,South,147932.94,2017,52981,53.8,39.8,4.1,0.2,0.6,1.5,100.0,0.5502060000000001
98,78641,Leander,Williamson County,Suburban,North,165666.67,2011,43655,20.0,73.4,3.1,0.2,1.8,1.6,100.1,0.419699
99,78641,Leander,Williamson County,Suburban,North,165729.69,2012,47490,22.7,70.3,3.4,0.1,1.9,1.6,100.0,0.452488
100,78641,Leander,Williamson County,Suburban,North,166346.57,2013,48854,24.1,68.8,2.8,0.2,1.9,2.1,99.9,0.46698500000000004
101,78641,Leander,Williamson County,Suburban,North,167725.93,2014,51247,25.3,67.5,2.6,0.4,1.8,2.5,100.1,0.478725
102,78641,Leander,Williamson County,Suburban,North,169812.72,2015,52984,25.0,67.1,3.3,0.3,1.7,2.6,100.0,0.485196
103,78641,Leander,Williamson County,Suburban,North,172537.92,2016,55933,23.8,67.0,3.3,0.4,2.1,3.3,99.9,0.491821
104,78641,Leander,Williamson County,Suburban,North,176030.95,2017,60135,24.0,66.3,3.6,0.4,2.7,3.1,100.1,0.499829
105,78642,Liberty Hill,Williamson County,Suburban,North,218231.11,2011,8498,8.4,86.1,0.7,0.8,0.3,3.8,100.1,0.25005700000000003
106,78642,Liberty Hill,Williamson County,Suburban,North,219885.94,2012,9175,14.4,80.7,0.7,0.6,0.4,3.2,100.0,0.32689
107,78642,Liberty Hill,Williamson County,Suburban,North,221584.31,2013,9341,14.6,82.4,0.7,0.4,0.4,1.5,100.0,0.299402
108,78642,Liberty Hill,Williamson County,Suburban,North,224280.09,2014,9867,14.2,83.2,0.7,0.1,0.5,1.2,99.9,0.287393
109,78642,Liberty Hill,Williamson County,Suburban,North,227993.86,2015,9879,12.2,84.9,0.6,0.1,0.5,1.6,99.9,0.263997
110,78642,Liberty Hill,Williamson County,Suburban,North,232017.08,2016,10416,11.5,85.7,0.4,0.1,0.2,2.1,100.0,0.251864
111,78642,Liberty Hill,Williamson County,Suburban,North,237365.48,2017,11087,10.6,86.0,0.4,0.0,0.3,2.6,99.9,0.24846300000000002
112,78644,Lockhart,Caldwell County,Rural,South,92184.44,2011,16772,43.1,47.7,7.7,0.3,0.2,1.1,100.1,0.580647
113,78644,Lockhart,Caldwell County,Rural,South,92981.77,2012,16820,46.9,43.6,8.0,0.5,0.0,0.9,99.9,0.583437
114,78644,Lockhart,Caldwell County,Rural,South,93864.22,2013,17542,49.0,42.3,7.0,0.2,0.3,1.2,100.0,0.575914
115,78644,Lockhart,Caldwell County,Rural,South,95004.17,2014,17276,49.6,41.4,7.4,0.1,0.4,1.1,100.0,0.576974
116,78644,Lockhart,Caldwell County,Rural,South,96321.93,2015,18282,52.1,40.1,6.2,0.1,0.4,1.0,99.9,0.563797
117,78644,Lockhart,Caldwell County,Rural,South,97872.92,2016,18558,51.4,40.9,6.5,0.1,0.2,0.8,99.9,0.564229
118,78644,Lockhart,Caldwell County,Rural,South,99840.48,2017,18287,51.2,40.8,4.9,0.2,2.1,0.8,100.0,0.5684819999999999
119,78645,Lago Vista,Travis County,Suburban,West,168929.44,2011,10308,7.1,90.4,1.0,0.2,0.2,1.2,100.1,0.177491
120,78645,Lago Vista,Travis County,Suburban,West,169408.33,2012,10012,12.7,85.0,1.1,0.2,0.1,0.9,100.0,0.261164
121,78645,Lago Vista,Travis County,Suburban,West,170341.18,2013,10148,10.5,87.3,0.9,0.2,0.3,0.9,100.1,0.226671
122,78645,Lago Vista,Travis County,Suburban,West,171487.04,2014,10312,11.9,85.3,1.2,0.3,0.3,1.2,100.2,0.257924
123,78645,Lago Vista,Travis County,Suburban,West,173409.65,2015,10274,13.2,83.3,0.9,0.3,0.3,2.0,100.0,0.288188
124,78645,Lago Vista,Travis County,Suburban,West,175819.17,2016,10290,15.2,80.1,1.9,0.3,0.8,1.7,100.0,0.334572
125,78645,Lago Vista,Travis County,Suburban,West,179467.06,2017,10705,11.2,83.9,2.0,0.4,0.8,1.7,100.0,0.28276599999999996
126,78648,Luling,Caldwell County,Rural,South,57609.44,2011,7899,39.8,50.4,8.2,1.4,0.0,0.2,100.0,0.5806560000000001
127,78648,Luling,Caldwell County,Rural,South,58555.21,2012,7971,35.3,54.7,9.9,0.0,0.0,0.1,100.0,0.56638
128,78648,Luling,Caldwell County,Rural,South,59588.24,2013,7866,33.5,57.3,9.0,0.1,0.0,0.1,100.0,0.551344
129,78648,Luling,Caldwell County,Rural,South,60795.83,2014,8238,37.0,55.8,6.9,0.1,0.0,0.1,99.9,0.5469729999999999
130,78648,Luling,Caldwell County,Rural,South,62201.75,2015,7824,34.5,58.5,6.6,0.2,0.1,0.1,100.0,0.534388
131,78648,Luling,Caldwell County,Rural,South,63763.33,2016,7746,38.1,54.0,7.5,0.1,0.1,0.2,100.0,0.557608
132,78648,Luling,Caldwell County,Rural,South,65507.54,2017,7791,42.8,49.6,6.7,0.2,0.5,0.3,100.1,0.5662729999999999
133,78652,San Leanna,Travis County,Suburban,South,173421.67,2011,4256,22.5,73.2,3.1,0.0,0.3,0.9,100.0,0.4125
134,78652,San Leanna,Travis County,Suburban,South,174557.29,2012,4687,27.8,67.0,3.1,0.0,1.3,0.7,99.9,0.472637
135,78652,San Leanna,Travis County,Suburban,South,176201.96,2013,5117,30.7,66.0,1.6,0.0,1.1,0.6,100.0,0.469738
136,78652,San Leanna,Travis County,Suburban,South,178657.41,2014,5408,33.7,62.7,1.7,0.0,1.2,0.8,100.1,0.492805
137,78652,San Leanna,Travis County,Suburban,South,182007.02,2015,5355,32.3,64.4,1.6,0.0,1.6,0.0,99.9,0.48042299999999993
138,78652,San Leanna,Travis County,Suburban,South,186942.92,2016,4919,36.6,60.6,1.2,0.0,1.5,0.0,99.9,0.498439
139,78652,San Leanna,Travis County,Suburban,South,192636.51,2017,4965,37.1,59.4,2.9,0.0,0.6,0.0,100.0,0.508646
140,78653,Manor,Travis County,Suburban,East,132725.56,2011,14631,46.2,32.6,19.5,0.0,1.2,0.5,100.0,0.6420859999999999
141,78653,Manor,Travis County,Suburban,East,132582.81,2012,15783,48.2,27.1,22.4,0.0,1.1,1.2,100.0,0.643794
142,78653,Manor,Travis County,Suburban,East,133012.75,2013,16917,50.9,24.4,21.8,0.0,1.8,1.1,100.0,0.633414
143,78653,Manor,Travis County,Suburban,East,133803.24,2014,17968,45.0,27.6,23.1,0.0,1.9,2.4,100.0,0.667026
144,78653,Manor,Travis County,Suburban,East,135073.68,2015,19072,51.2,22.2,24.3,0.0,0.7,1.5,99.9,0.629249
145,78653,Manor,Travis County,Suburban,East,137208.33,2016,19328,47.3,25.3,23.7,0.0,1.0,2.6,99.9,0.655317
146,78653,Manor,Travis County,Suburban,East,139737.7,2017,20822,46.9,24.8,23.4,0.0,1.6,3.4,100.1,0.662367
147,78655,Martindale,Caldwell County,Rural,South,122433.89,2011,3694,60.2,29.4,9.2,0.0,0.0,1.2,100.0,0.542552
148,78655,Martindale,Caldwell County,Rural,South,123488.54,2012,3684,60.6,33.4,5.1,0.0,0.0,0.9,100.0,0.518526
149,78655,Martindale,Caldwell County,Rural,South,124623.53,2013,3917,64.9,29.3,5.0,0.0,0.0,0.8,100.0,0.490386
150,78655,Martindale,Caldwell County,Rural,South,126363.43,2014,4006,68.7,28.1,2.9,0.0,0.0,0.3,100.0,0.44822
151,78655,Martindale,Caldwell County,Rural,South,128659.21,2015,3574,69.1,26.8,3.9,0.0,0.0,0.3,100.1,0.449165
152,78655,Martindale,Caldwell County,Rural,South,131090.0,2016,3431,66.1,30.4,3.1,0.0,0.0,0.3,99.9,0.469693
153,78655,Martindale,Caldwell County,Rural,South,134409.52,2017,3415,69.4,27.1,3.2,0.0,0.0,0.3,100.0,0.44388999999999995
154,78659,Paige,Bastrop County,Rural,East,90918.33,2011,3052,8.4,91.2,0.0,0.0,0.4,0.0,100.0,0.161184
155,78659,Paige,Bastrop County,Rural,East,92138.02,2012,2799,7.4,91.5,0.6,0.0,0.5,0.0,100.0,0.15723800000000002
156,78659,Paige,Bastrop County,Rural,East,93118.63,2013,3140,5.9,89.5,3.9,0.0,0.8,0.0,100.1,0.193909
157,78659,Paige,Bastrop County,Rural,East,94512.5,2014,2870,13.8,81.7,3.4,0.0,1.1,0.0,100.0,0.31219
158,78659,Paige,Bastrop County,Rural,East,96956.58,2015,3118,13.7,81.9,3.6,0.9,0.0,0.0,100.1,0.309093
159,78659,Paige,Bastrop County,Rural,East,100156.67,2016,3093,12.9,81.5,4.6,1.0,0.0,0.0,100.0,0.316918
160,78659,Paige,Bastrop County,Rural,East,103202.78,2017,3136,14.4,79.0,3.9,1.0,0.3,1.5,100.1,0.35330900000000004
161,78660,Pflugerville,Travis County,Suburban,North,157378.89,2011,67630,29.5,43.6,14.8,0.2,9.9,1.9,99.9,0.690809
162,78660,Pflugerville,Travis County,Suburban,North,157928.65,2012,70407,30.2,43.7,14.9,0.3,9.4,1.6,100.1,0.686525
163,78660,Pflugerville,Travis County,Suburban,North,158752.94,2013,75038,30.5,43.1,14.5,0.3,10.0,1.6,100.0,0.689924
164,78660,Pflugerville,Travis County,Suburban,North,160013.89,2014,77046,29.6,45.4,14.3,0.3,9.1,1.5,100.2,0.677304
165,78660,Pflugerville,Travis County,Suburban,North,161915.79,2015,79067,30.7,44.4,14.2,0.3,8.7,1.6,99.9,0.680617
166,78660,Pflugerville,Travis County,Suburban,North,164554.58,2016,81698,30.2,43.0,15.2,0.3,9.7,1.6,100.0,0.691118
